mol_id,smiles,dn_pred_rf,dn_pred_xgb,dn_pred_ens,MW,LogP,TPSA,Nrot,SA
1470,NC1CCCNC1,29.64042778912784,29.645226,29.645387833425367,100.165,-0.30289999999999995,38.05,0,1.85
1474,C1CNCC(N2CC2)C1,29.68714536793733,29.576935,29.6310332096333,126.203,0.05400000000000005,15.04,1,2.63
1498,CN1CCNCC1,29.60840756316377,29.653996,29.63050097385839,100.16499999999999,-0.4785999999999999,15.27,0,1.85
1499,CCN1CCNCC1,29.86134395145479,29.888334,29.886599788402343,114.19200000000001,-0.08850000000000002,15.27,1,2.08
1500,CCCN1CCNCC1,29.8978960049152,29.922108,29.92245141161853,128.219,0.3015999999999999,15.27,2,2.31
1501,CCCCN1CCNCC1,29.915975254689258,29.939661,29.925574782996865,142.24599999999998,0.6917,15.27,3,2.54
1509,NN1CCNCC1,30.790400848844214,30.995863,30.89627545413288,101.15299999999999,-1.2346999999999995,41.29,0,1.85
1510,CNN1CCNCC1,31.016014343408944,31.06364,31.035233921456445,115.18,-0.9739999999999991,27.299999999999997,1,2.08
1511,CCNN1CCNCC1,31.053521137202527,31.194864,31.130591830840054,129.207,-0.5838999999999992,27.299999999999997,2,2.31
1512,CN(C)N1CCNCC1,30.898290852700804,30.91145,30.913727880051866,129.207,-0.6317999999999997,18.509999999999998,1,2.13
1513,C1CN(N2CC2)CCN1,30.85952980764605,30.82174,30.847636153522462,127.191,-0.8777999999999997,18.28,1,2.63
1516,O=CN1CCNCC1,27.86113260758971,27.874102,27.86656829016442,114.14800000000001,-0.9519999999999997,32.34,1,2.08
1521,N#CN1CCNCC1,30.08618594905849,30.065365,30.108997404931138,111.14800000000001,-0.6273200000000001,39.06,0,1.9
1522,SN1CCNCC1,29.74898165996816,29.762255,29.749880777972386,118.20500000000001,-0.26360000000000006,15.27,0,1.85
1527,c1cc(N2CCNCC2)ccn1,31.26823547738999,31.378727,31.322200609458804,163.22400000000002,0.4911999999999999,28.16,1,4.279999999999999
1528,c1cnc(N2CCNCC2)cn1,32.14777066734432,32.398945,32.28027586667779,164.21200000000002,-0.11380000000000035,41.050000000000004,1,4.279999999999999
1532,C1CN(C2CCNC2)CCN1,31.084921928615792,31.093954,31.118843524616196,155.245,-0.746499999999999,27.299999999999997,1,2.7299999999999995
1534,OC(O)N1CCNCC1,27.061483491091177,27.044075,27.050342571016177,132.163,-1.8401999999999998,55.730000000000004,1,2.13
1537,CN1CCOCC1,28.18114282407747,28.867311,28.464239878885646,101.149,-0.05160000000000009,12.47,0,1.85
1582,OC1CNC1,25.451745163445132,25.172436,25.332544877937686,73.095,-1.0495,32.26,0,1.75
1587,NC1CNC1,28.577123040593907,28.56187,28.576398416899465,72.111,-1.0831000000000002,38.05,0,1.75
1588,CNC1CNC1,29.385977280616324,29.484928,29.44168044998971,86.13799999999999,-0.8223999999999998,24.06,1,1.98
1589,CCNC1CNC1,29.903709959155723,29.982544,29.93185547758536,100.165,-0.43230000000000013,24.06,2,2.21
1590,CN(C)C1CNC1,29.536174390024065,29.528498,29.54115510080144,100.165,-0.4802000000000002,15.27,1,2.03
1591,C1NCC1N1CC1,29.269453722399632,29.159672,29.21296422054472,98.149,-0.7262000000000002,15.04,1,2.53
1597,NC(=O)C1CNC1,27.528773424371234,27.537523,27.526126521805587,100.12100000000001,-1.3089000000000004,55.120000000000005,1,2.03
1599,N#CC1CNC1,28.034543352121247,27.912546,27.94363077633767,82.106,-0.2706200000000001,35.82,0,1.8
1600,SC1CNC1,27.70953740113995,27.761478,27.738029991249697,89.163,-0.11200000000000004,12.03,0,1.75
1612,OC(O)C1CNC1,24.988360689432056,25.113935,25.061092848884947,103.12100000000001,-1.4835,52.49,1,2.03
1624,Nc1cnccn1,30.50051413055614,30.550514,30.51305788064143,95.10499999999999,0.05880000000000002,51.8,0,3.35
1698,Nc1ccncn1,30.548294214343112,30.55975,30.56084465291356,95.105,0.05880000000000002,51.8,0,3.35
1793,Nc1ccc[nH]1,30.786514911515653,28.737938,29.71040009876632,82.10600000000001,0.5969,41.81,0,3.05
1860,Cn1cnc2ncncc21,31.89031135484458,31.802307,31.88742147803481,134.142,0.36329999999999996,43.6,0,4.75
1871,Nn1cnc2ncncc21,32.85439267068775,33.102715,33.001639365020864,135.13,-0.4599000000000004,69.62,0,4.75
