mol_id,smiles,dn_rf,dn_empirical,dn_final,confidence,is_anchor
106,COP(=O)(C=O)OC,18.120600000000017,16.560972990036994,17.32324355203911,high,False
107,CCCCOC=O,18.05040000000003,19.966235970006196,18.9841656585956,high,False
108,CC(C)(C)OC=O,17.817800000000016,19.92697934478447,18.842901384062408,high,False
109,NOC=O,24.186200000000035,22.824178060705975,23.495321564342287,high,False
110,CNOC=O,25.484800000000043,22.79108551580588,24.10033726222956,high,False
111,CCNOC=O,26.12980000000006,22.793554538867916,24.404733585714723,high,False
112,CN(C)OC=O,26.401800000000108,22.76804751247898,24.517696401068555,medium,False
113,O=CON1CC1,25.981200000000044,22.781706455567154,24.32891431534466,high,False
114,O=COF,17.233800000000024,16.34591362212675,16.783986599762535,high,False
115,O=COCl,18.926400000000037,20.01802528134582,19.46456148195649,high,False
